SUPPLIER,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
INFINIUM SPIRITS INC,390.90000000000003,441.0,12.0
INTERBALT PRODUCTS CORP,318.53999999999974,263.43999999999994,2565.57
INTERNATIONAL CELLARS LLC,12.410000000000002,14.42,514.0
INTERNATIONAL SPIRITS & WINES LLC,15.300000000000004,0.0,0.0
J LOHR WINERY,1979.649999999999,2273.84,1286.67
JACK POUST & COMPANY INC,1397.3999999999999,1420.5,346.58
JACKSON FAMILY ENTERPRISES INC,10893.989999999989,12024.250000000002,12644.25
JIM BEAM BRANDS CO,39156.79000000009,43020.58999999991,2928.4500000000003
JOHN GIVEN WINES INC,182.38,163.92,186.0
JORDAN VINEYARD,55.61999999999999,60.42,82.0
JOS VICTORI WINES,328.3200000000001,314.59000000000003,1140.92
KAHN PAPER COMPANY INC,0.0,2259.0,0.0
KATCEF BROTHERS INC,1323.33,1607.0,9062.58
KING ESTATE WINERY,500.44,540.84,351.0
KLEIN FAMILY VINTNERS,1323.23,1455.02,319.0
KOBRAND CORPORATION,2733.4400000000014,2916.9000000000005,1644.0
KYSELA PERE ET FILS LTD,3139.870000000002,3319.7300000000014,6654.110000000001
LA ISLA CORPORATION,0.49,0.0,53.92
LABATT USA OPERATING CO LLC,2183.14,2446.0,6719.58
LAIRD AND COMPANY,158.29000000000002,162.82999999999998,23.0
LANTERNA DISTRIBUTORS INC,196.32000000000016,222.52,3110.6000000000004
LAPHAM SALES & MARKETING DBA LAPHAM,2657.7,2829.1800000000003,1761.0100000000002
LATITUDE BEVERAGE COMPANY,23.690000000000005,19.5,427.0
LCF WINE COMPANY LLC,15.880000000000004,8.83,537.92
LEGACY PARTNERS DISTRIBUTION LLC,82.15,17.659999999999997,4.0
LEGENDS LTD,3789.359999999997,4353.1,35945.96
LUNEAU USA INC,1872.8700000000008,2026.7000000000007,2024.0
LUXCO SPIRITED BRANDS,2524.580000000001,2614.3199999999997,504.0
LYON DISTILLING COMPANY LLC,29.5,8.0,0.0
MACCHU PISCO LLC,232.51000000000002,253.65999999999997,181.0
MADIDUS LLC,8.28,10.0,5.0
MAISON JOMERE LTD,0.72,0.0,0.0
MARK ANTHONY BRANDS INC,1754.9599999999996,1968.0,9477.93
MARQUEE SELECTIONS LLC,0.0,0.0,8.0
MASS BAY BREWING CO,658.7299999999999,747.0,2494.5
MAST-JAEGERMEISTER US INC,678.7099999999998,603.32,111.0
MEIOMI,0.75,0.0,0.0
MERRYVALE VINEYARDS,2.4699999999999998,2.0,0.0
MEXCOR INTERNATIONAL,3.2,3.0,97.0
MHW LTD,2413.1899999999982,3177.7200000000003,2831.5
MICHAEL R DOWNEY SELECTIONS INC,159.08000000000004,176.5,661.8299999999999
MILLER BREWING COMPANY,35022.63000000003,39176.67,572623.4100000001
MOET HENNESSY USA,9429.610000000013,10068.169999999998,2384.66
MONDO VINO,6.49,0.0,0.0
MONOCACY BREWING CO LLC,10.0,17.0,42.0
MONSIEUR TOUTON SELECTION,2310.2499999999973,2418.840000000001,10115.660000000002
MONTEBELLO BRANDS INC,875.6199999999999,968.1700000000001,86.0
NARRAGANSETT BREWING COMPANY,0.25,1.0,216.75
NEW BELGIUM BREWING INC,3723.2999999999984,4221.67,14874.31
NEW PARROTT & CO,1147.4299999999998,1213.87,507.0
NICE LEGS LLC,0.97,0.0,0.0
NICHE IMPORTERS,332.14000000000004,314.69000000000005,211.5
NICKOLAS IMPORTS LLC,1.2,4.0,118.0
NOBLE VINTNERS INC,6.48,0.0,0.0
NORTH LOCK LLC DBA PORT CITY BREWING CO,920.7,1088.0,2234.0
NOVELTY MD INC,26.299999999999997,30.0,0.0
OCEAN CITY BREWING CO LLC,14.340000000000002,-0.32,0.0
OENOS LLC,1.37,1.0,61.0
ONE TRUE VINE,1110.6400000000003,1254.1000000000001,912.0
OPICI FAMILY DISTRIBUTING OF MD,1109.7900000000013,1221.98,5150.01
ORGANIC VINTNERS INC,0.9000000000000001,0.0,0.0
OSLO ENTERPRISE,27.42,31.33,267.83000000000004
PABST BREWING CO,4330.0999999999985,4868.0,49815.91999999997
PACIFIC RIM WINEMAKERS,0.0,0.0,0.0
PALM BAY IMPORTS,3855.4799999999996,4165.990000000001,4202.93
PAMPA BEVERAGES LLC DBA TRANSNATIONAL SU,1.0,1.0,36.0
PARK STREET IMPORTS LLC,250.09,251.58999999999995,19.0
PATERNO IMPORTS LTD,1157.0000000000018,1080.71,743.92
PERNOD RICARD USA LLC,24988.55,27125.039999999957,4097.09
PIPE CREEK WINES LLC,97.07999999999997,162.25,252.0
PLATA WINE PARTNERS LLC,2.12,2.0,22.0
PLUME RIDGE IRREVOCABLE TRUST,0.08,0.0,41.92
POTOMAC SELECTIONS INC,20.55,40.0,76.0
PRECEPT BRANDS LLC,3.08,16.0,33.0
PREMIUM DISTRIBUTORS OF MARYLAND,0.0,0.0,5.0
PRESTIGE BEVERAGE GROUP OF MD LLC,1698.2300000000027,1613.2800000000007,2395.13
PRESTIGE WINE IMPORTS,490.38999999999993,543.51,489.65999999999997
PROXIMO SPIRITS INC,11514.640000000003,12567.119999999997,587.0
PUNTO VINO LLC,195.29000000000002,210.42999999999998,5386.42
PWSWN INC,120.10999999999983,135.16,3180.33
QUINTESSENTIAL LLC,1257.8200000000006,1236.3799999999999,1461.9300000000003
RAPP CAPITAL LLC,10.919999999999998,25.0,19.0
RED INK IMPORTS,14.700000000000005,10.83,129.0
RED MOUNTAIN DISTILLING & SPIRITS LLC,4.0,4.0,0.0
RELIABLE CHURCHILL LLLP,9515.989999999974,9489.9,4174.43
REMY COINTREAU USA,4133.589999999999,4516.0,300.09000000000003
REPUBLIC NATIONAL DISTRIBUTING CO,13010.149999999849,13022.180000000004,27864.189999999988
REPUBLIC RESTORATIVES,14.739999999999998,6.0,1.0
ROBERT GIRAUD,38.300000000000004,37.0,4.0
ROBERT KACHER SELECTIONS LLC,7.200000000000001,1.0,1.0
ROBERT OATLEY,2.77,1.0,49.0
ROBERT OATLEY VINEYARDS INC,13.950000000000003,19.75,140.59
ROOTS RUN DEEP LLC,200.23,205.51,152.0
ROYAL WINE CORP,1811.8700000000028,2149.4700000000003,3164.4300000000003
RUSSIAN STANDARD VODKA (USA) INC,307.50999999999993,329.83,18.0
RUTHERFORD WINE COMPANY,37.19,28.5,908.92
RVWC LLC,0.65,0.0,18.0
SABLE RIDGE VINEYARD LLC,0.64,0.0,0.0
SAGAMORE WHISKEY LLC,212.71999999999997,238.0,20.0
SALVETO IMPORTS LLC,9.22,5.92,1228.92
SAN ANTONIO WINERY INC,229.22,300.59999999999997,164.0
SANGLIER SELECTIONS LLC,2.26,0.8300000000000001,0.0
SANTA MARGHERITA USA INC,772.3299999999999,805.84,586.9200000000001
SAZERAC CO,25772.62999999998,27819.679999999975,5304.18
SCHEID VINEYARDS CALIFORNIA INC,0.0,1.0,4.0
SCHMITT SOHNE INC,937.8100000000004,1016.92,703.0
SCHUG CARNEROS ESTATE WINERY,83.55999999999995,62.92,113.0
SCOPERTA IMPORTING COMPANY INC,10.940000000000003,11.0,51.0
SERRALLES USA LLC,268.15,287.0,61.0
SIDNEY-FRANK IMPORTING CO,200.51000000000002,367.96000000000004,47.0
SIERRA NEVADA BREWING CO,4167.449999999998,4683.0,22799.46
SIMON N CELLARS LLC,8.950000000000001,9.0,62.0
SINGHA NORTH AMERICA INC,367.37,420.0,1381.71
SMITH-ANDERSON ENTERPRISES INC,2.33,6.67,0.0
SOKOL BLOSSER LTD,127.93999999999998,76.0,14.0
SOUTHERN GLAZERS WINE AND SPIRITS,7841.969999999985,8110.3200000000015,14106.87
