ITEM CODE,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
10939,0.0,0.0,1.0
10940,0.0,0.0,201.75
10941,0.0,0.0,44.0
10943,0.0,0.0,5.0
10944,0.0,0.0,3.0
10946,0.0,0.0,6.0
10947,0.0,0.0,3.0
10948,0.0,0.0,2.0
10949,0.0,0.0,3.0
10951,0.0,0.0,2.0
10952,0.0,0.0,10.0
109525,0.0,0.0,4.0
10953,0.0,0.0,27.0
10954,0.0,0.0,5.0
10955,0.0,0.0,1.0
10958,0.0,0.0,2.0
10959,13.25,9.0,0.0
10961,7.800000000000001,0.0,0.0
109622,0.34,0.0,0.0
109630,0.8800000000000001,0.0,2.0
10968,0.0,0.0,2.0
10979,248.45,274.83,13.0
10984,0.0,0.0,2.0
10987,0.0,0.0,1.0
109924,0.0,0.0,8.0
10994,20.990000000000002,29.0,36.0
10995,0.0,0.0,66.0
109983,0.0,0.0,2.0
110,1.7999999999999998,0.0,0.0
110000,19.729999999999997,24.0,1.0
11002,80.51999999999998,96.0,10.0
11009,0.0,0.0,3.0
11010,0.0,0.0,1.0
110132,47.87,52.0,2.0
11014,0.0,0.0,35.0
11015,1.0,2.0,15.0
11016,0.0,0.0,7.0
11019,102.29,117.0,37.92
11020,28.200000000000003,-0.8300000000000001,0.0
11021,28.71,-0.71,0.0
11022,27.380000000000003,1.67,0.0
11023,27.020000000000003,0.0,0.0
11024,32.68,0.0,0.0
110248,0.0,0.0,9.0
110264,0.08,0.0,0.0
11027,0.0,0.0,31.0
11029,144.54,151.82999999999998,0.0
11031,0.0,0.0,1.0
11033,0.0,0.0,2.0
11034,0.0,0.0,6.0
110345,0.0,0.0,2.0
11037,49.21999999999999,56.92,0.0
11039,0.0,0.0,9.0
11042,0.0,0.0,2.0
11044,0.0,0.0,4.0
11045,0.0,0.0,5.0
11047,0.0,0.0,3.0
11049,0.0,0.0,1.0
110507,0.0,0.0,2.0
11054,0.0,0.0,50.75
11055,0.0,0.0,81.75
11056,0.0,0.0,157.0
11057,0.0,0.0,77.75
11061,0.0,0.0,1.0
11062,0.75,2.0,54.0
11063,0.0,0.0,2.0
110639,0.0,0.0,2.0
11068,0.0,0.0,1.0
11070,3.68,1.0,0.0
11072,0.0,0.0,1.0
11073,0.0,0.0,1.0
11078,0.0,0.0,2.0
11082,0.0,0.0,8.0
11083,0.0,0.0,156.0
11084,36.12,40.0,2.0
110841,0.0,0.0,31.0
11085,21.79,22.84,0.0
11086,11.25,14.0,0.0
11088,489.36,569.01,39.0
11099,0.0,0.0,1.0
111023,0.0,0.0,8.0
11105,0.0,0.0,25.75
11107,0.0,0.0,3.0
11108,0.0,0.0,10.0
11109,0.0,0.0,11.0
11116,0.0,0.0,1.0
11118,1245.15,1395.6100000000001,202.0
111236,0.0,0.0,3.0
111252,0.0,0.0,1.0
11132,0.0,0.0,28.0
11134,0.0,0.0,1.0
11141,0.0,0.0,1.0
11142,70.23,86.83,27.0
11144,0.0,0.0,2.0
11145,0.0,0.0,23.0
